x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.455 17 17 15
1 3 6 1. 1. 1. 1. 1. 3. 15. 15. 4.333 23 23 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.481 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 0 0 0
1 3 6 1. 0.6 1. 2. 1.4 3. 36.5 24. 4.323 81 38 81
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 24 24 24
1 3 6 1. 1. 1. 2. 2. 3. 13. 7. 4.31 59 21 57
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.471 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 21.5 12. 4.537 44 38 42
1 3 6 2. 2. 2. 1. 1. 3. 10. 10. 4.613 24 24 24
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.498 24 24 24
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.475 0 0 0
1 3 6 0.435 0.435 0.435 0. 0. 3. 0. 0. 4.6 28 28 28
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.412 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.551 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.442 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.485 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.511 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.594 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.561 0 0 0
1 3 6 0.475 0.475 0.475 0. 0. 3. 0. 0. 4.405 31 31 31
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.518 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.399 18 18 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.363 23 23 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.501 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.567 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.445 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.356 0 0 0
1 3 6 0.594 0.594 0.594 0. 0. 3. 0. 0. 4.547 31 31 31
1 3 6 1. 1. 1. 2. 2. 3. 16. 8.5 4.504 59 27 57
1 3 6 0. 0. 0. 1. 1. 3. 22.5 22.5 4.501 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.448 23 23 21
1 3 6 0. 0. 0. 1. 1. 3. 8. 8. 4.587 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.353 0 0 0
1 3 6 2. 2. 2. 1. 1. 3. 10. 10. 4.478 20 20 18
1 3 6 0. 0. 0. 1. 1. 3. 8. 8. 4.452 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 15.5 8.5 4.455 36 30 30
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.462 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.422 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.363 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.465 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.392 24 24 24
1 3 6 0.534 0.534 0.534 0. 0. 3. 0. 0. 4.442 31 31 31
1 3 6 0. 0. 0. 1. 1. 3. 22. 22. 4.508 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.432 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.366 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.508 0 0 0
1 3 6 1. 1. 1. 1. 1. 3. 16. 16. 4.567 21 21 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.458 20 20 18
1 3 6 1. 1. 1. 2. 2. 3. 18.5 11. 4.392 36 29 30
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.504 0 0 0
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.58 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 9. 9. 4.475 23 23 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.646 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.495 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.613 17 17 15
1 3 6 1. 1. 1. 1. 1. 3. 13. 13. 4.468 21 21 21
1 3 6 2. 2. 2. 0. 0. 3. 0. 0. 4.435 21 21 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.669 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.567 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.465 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.452 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.564 0 0 0
1 3 6 0.333 0.25 0.333 1.333 1. 3. 25.833 22.833 4.438 72 38 72
