x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.455 22 22 22
1 3 6 1. 1. 1. 1. 1. 3. 15. 15. 4.333 23 23 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.481 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 37 37 31
1 3 6 1. 0.6 1. 1. 0.8 3. 50. 26.25 4.323 81 38 81
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 24 24 24
1 3 6 1. 1. 1. 1. 1. 3. 21. 9. 4.31 59 21 57
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.471 51 39 49
1 3 6 1. 1. 1. 1. 1. 3. 38. 19. 4.537 44 38 42
1 3 6 2. 2. 2. 1. 1. 3. 10. 10. 4.613 24 24 24
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.498 24 24 24
1 3 6 0. 0. 0. 1. 1. 3. 25. 10. 4.475 68 25 66
1 3 6 0.435 0.435 0.435 0. 0. 3. 0. 0. 4.6 28 28 28
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.412 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.551 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.442 47 31 43
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.485 18 18 18
1 3 6 0. 0. 0. 1. 1. 3. 25. 10. 4.511 56 25 48
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.594 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.561 39 35 31
1 3 6 0.475 0.475 0.475 0. 0. 3. 0. 0. 4.405 31 31 31
1 3 6 0. 0. 0. 1. 1. 3. 48. 16. 4.518 81 36 81
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.399 22 22 22
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.363 23 23 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.501 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.567 23 23 22
1 3 6 0. 0. 0. 1. 1. 3. 13. 13. 4.445 18 18 18
1 3 6 0. 0. 0. 1. 0. 3. 27. 0. 4.356 59 27 57
1 3 6 0.594 0.594 0.594 0. 0. 3. 0. 0. 4.547 31 31 31
1 3 6 1. 1. 1. 1. 1. 3. 27. 12. 4.504 59 27 57
